ACT Symbol,Company Name
FPF,First Trust Intermediate Duration Preferred & Income Fund Common Shares of Beneficial Interest
FPL,First Trust New Opportunities MLP & Energy Fund Common Shares of Beneficial Interest
FPO,First Potomac Realty Trust Common Shares of Beneficial Interest
FPT,Federated Premier Intermediate Municipal Income Fund Federated Premier Intermediate Municipal Income Fund
FR,"First Industrial Realty Trust, Inc. Common Stock"
FRA,Blackrock Floating Rate Income Strategies Fund Inc  Common Stock
FRC,FIRST REPUBLIC BANK Common Stock
FRM,Furmanite Corporation Common Stock
FRO,Frontline Ltd. Ordinary Shares
FRT,Federal Realty Investment Trust Common Stock
FSCE,Fifth Street Finance Corp. 5.875% Senior Notes due 2024
FSD,First Trust High Income Long Short Fund Common Shares of Beneficial Interest
FSIC,FS Investment Corporation Common Stock
FSL,"Freescale Semiconductor, Ltd Common Shares"
FSM,Fortuna Silver Mines Inc Ordinary Shares (Canada)
FSS,Federal Signal Corporation Common Stock
FT,Franklin Universal Trust Common Stock
FTI,"FMC Technologies, Inc. Common Stock"
FTK,"Flotek Industries, Inc. Common Stock"
FTT,Federated Enhanced Treasury Income Fund Common Shares of Beneficial Interest
FUL,H. B. Fuller Company Common Stock
FUN,"Cedar Fair, L.P. Common Stock"
FUR,Winthrop Realty Trust New Common Stock
FVE,"Five Star Quality Care, Inc. Common Stock"
FXCM,FXCM Inc. Class A Common Stock
G,Genpact Limited Common Stock
GAB,"Gabelli Equity Trust, Inc. (The) Common Stock"
GAM,"General American Investors, Inc. Common Stock"
GAS,"AGL Resources, Inc. Common Stock"
GB,"Greatbatch, Inc. Common Stock"
GBAB,Guggenheim Build America Bonds Managed Duration Trust Common Shares of Beneficial Interest
GBL,"Gamco Investors, Inc. Common Stock"
GBX,"Greenbrier Companies, Inc. (The) Common Stock"
GCA,"Global Cash Access Holdings, Inc. Common Stock"
GCAP,"GAIN Capital Holdings, Inc. Common Stock"
GCH,"Aberdeen Greater China Fund, Inc. Common Stock"
GCI,"Gannett Co., Inc. Common Stock"
GCO,Genesco Inc. Common Stock
GCV,"Gabelli Convertible and Income Securities Fund, Inc. (The) Common Stock"
GD,General Dynamics Corporation Common Stock
GDF,"Western Asset Global Partners Income Fund, Inc. Common Stock"
GDL,"GDL Fund, The Common Shares of Beneficial Interest"
GDO,Western Asset Global Corporate Defined Opportunity Fund Inc. Western Asset Global Corporate Defined Opportunity Fund Inc.
GDOT,"Green Dot Corporation Class A Common Stock, $0.001 par value"
GDP,Goodrich Petroleum Corporation Common Stock
GDV,Gabelli Dividend & Income Trust Common Shares of Beneficial Interest
GE,General Electric Company Common Stock
GEB,"General Electric Company 4.875% Notes due October 15, 2052"
GEF,Greif Inc. Class A Common Stock
GEF.B,"Greif, Inc. Corporation Class B Common Stock"
GEH,"General Electric Capital Corporation 4.876% Notes due January 29, 2053"
GEK,"General Electric Capital Corporation 4.70% Notes due May 16, 2053"
GEL,"Genesis Energy, L.P. Common Units"
GEO,Geo Group Inc (The) REIT
GEQ,Guggenheim Equal Weight Enhanced Equity Income Fund Common Shares of Beneficial Interest
GER,Goldman Sachs MLP Energy Renaissance Fund
GES,"Guess?, Inc. Common Stock"
GF,"New Germany Fund, Inc. (The) Common Stock"
GFA,Gafisa SA Gafisa S.A. American Depositary Shares
GFF,Griffon Corporation Common Stock
GFI,Gold Fields Limited American Depositary Shares
GFIG,GFI Group Inc. Common Stock
GFY,Western Asset Variable Rate Strategic Fund Inc. Common Stock
GG,Goldcorp Inc. Common Stock
GGB,Gerdau S.A. Common Stock
GGE,Guggenheim Enhanced Equity Strategy Fund
GGG,Graco Inc. Common Stock
GGM,Guggenheim Credit Allocation Fund Common Shares of Beneficial Interest
GGP,"General Growth Properties, Inc. Common Stock"
GGT,Gabelli Multi
GGZ,Gabelli Global Small and Mid Cap Value Trust (The) Common Shares of Beneficial Interest
GHC,Graham Holdings Company Common Stock
GHI,"Global High Income Fund, Inc. Common Stock"
GHL,"Greenhill & Co., Inc. Common Stock"
GHM,Graham Corporation Common Stock
GHY,"Prudential Global Short Duration High Yield Fund, Inc. Common Stock"
GIB,"CGI Group, Inc. Common Stock"
GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock"
GIM,"Templeton Global Income Fund, Inc. Common Stock"
GIMO,Gigamon Inc. Common Stock
GIS,"General Mills, Inc. Common Stock"
GJH,Synthetic Fixed
GJO,Synthetic Fixed
GJP,Synthetic Fixed
GJR,Synthetic Fixed
GJS,"Goldman Sachs Group Securities STRATS Trust for Goldman Sachs Group Securities, Series 2006"
GJT,Synthetic Fixed
GJV,Synthetic Fixed
GLF,"GulfMark Offshore, Inc. New Common Stock"
GLOB,Globant S.A. Common Shares
GLOG,GasLog Ltd. Common Shares
GLOP,GasLog Partners LP Common Units representing limited partnership interests
GLP,Global Partners LP Global Partners LP Common Units representing Limited Partner Interests
GLPW,Global Power Equipment Group Inc Common Stock
GLT,Glatfelter Common Stock
GLW,Corning Incorporated Common Stock
GM,General Motors Company Common Stock
GM.A,General Motors Company Warrant (Expires 07/10/2016)
GM.B,General Motors Company Warrant (Expires 07/10/2019)
GM.C,"General Motors Company Warrants (expiring December 31, 2015)"
GME,Gamestop Corporation Common Stock
GMED,"Globus Medical, Inc. Class A Common Stock"
GMK,"GRUMA, S.A.B de C.V. Common Stock"
GMT,GATX Corporation Common Stock
GMZ,Goldman Sachs MLP Income Opportunities Fund
GNC,"GNC Holdings, Inc. Class A Common Stock"
GNE,Genie Energy Ltd. Class B Common Stock Stock
GNI,Great Northern Iron Ore Properties Common Stock
GNRC,Generac Holdlings Inc. Common Stock
GNT,"GAMCO Natural Resources, Gold & Income Trust"
GNW,Genworth Financial Inc Common Stock
GOF,Guggenheim Strategic Opportunities Fund Common Shares of Beneficial Interest
GOL,Gol Linhas Aereas Inteligentes S.A. Sponsored ADR representing Pfd Shares
GOV,Government Properties Income Trust Common Shares of Beneficial Interest
GPC,Genuine Parts Company Common Stock
GPI,"Group 1 Automotive, Inc. Common Stock"
GPK,Graphic Packaging Holding Company
GPM,Guggenheim Enhanced Equity Income Fund
GPN,Global Payments Inc. Common Stock
GPRK,Geopark Ltd Common Shares
GPS,"Gap, Inc. (The) Common Stock"
GPT,Gramercy Property Trust Inc. Common Stock
GPX,GP Strategies Corporation Common Stock
GRA,W.R. Grace & Co. Common Stock
